=================================================================
DATABASE SCHEMAS FOR INCOMPLETE PROJECTS & EXTRACTS
=================================================================

-----------------------------------------------------------------
TABLE: projects
-----------------------------------------------------------------
ColumnName | DataType | MaxLen | IsNullable | DefaultValue
total | float |  | YES | 
discount | float |  | YES | 
net | float |  | YES | 
quntExc | float |  | YES | 
totEx | float |  | YES | 
oprid | int |  | YES | 
discountEXE | float |  | YES | 
NetExe | float |  | YES | 
percentage1 | float |  | YES | 
Pre_Percent1 | float |  | YES | 
tot_percent1 | float |  | YES | 
QtyApprov | float |  | YES | 
TotalApprov | float |  | YES | 
PriceApprov | float |  | YES | 
DiscApprov | float |  | YES | 
NetApprov | float |  | YES | 
PrMainDesID | int |  | YES | 
ExPercen | float |  | YES | 
LineDiscountPercent | float |  | YES | 
LineDiscount | float |  | YES | 
linenetaftermainDiscount | float |  | YES | 
linenetaftermainDiscountBeforevat | float |  | YES | 
LineVat | float |  | YES | 
linenetaftermainDiscountWithvat | float |  | YES | 
PerforVLineDiscount | float |  | YES | 
LineFinal | float |  | YES | 
qtySubContractor | float |  | YES | 
costSubContractor | float |  | YES | 
OLDTotalwithVat | float |  | YES | 
CurrenttotalWithvat | float |  | YES | 
Totalwitvat | float |  | YES | 
oldPerforValue | float |  | YES | 
totalPerforValue | float |  | YES | 
projectName | nvarchar | 4000 | YES | 
FullCode | nvarchar | 4000 | YES | 
project_id | int |  | YES | 
Pre_Quantity_Contr | float |  | YES | 
AccountCode | nvarchar | 50 | YES | 

-----------------------------------------------------------------
TABLE: Notes
-----------------------------------------------------------------
ColumnName | DataType | MaxLen | IsNullable | DefaultValue
--------------------------------------------------------
NoteID | int |  | NO | 
NoteDate | smalldatetime |  | YES | 
NoteType | int |  | YES | 
NoteSerial | float |  | YES | 
NoteSerial1 | float |  | YES | 
Note_Value | float |  | YES | 
BankID | int |  | YES | 
ChqueNum | nvarchar | 50 | YES | 
DueDate | smalldatetime |  | YES | 
NoteHijriDate | nvarchar | 50 | YES | 
Transaction_ID | int |  | YES | 
MaintananceID | int |  | YES | 
Member_ID | int |  | YES | 
UserID | int |  | YES | 
Remark | nvarchar | 4000 | YES | 
ExpensesID | int |  | YES | 
CashingType | int |  | YES | 
CusID | int |  | YES | 
BoxID | int |  | YES | 
RevenuesID | int |  | YES | 
RetrunNoteID | int |  | YES | 
NoteCashingType | int |  | YES | 
NotePosted | int |  | YES | 
PostedBy | int |  | YES | 
PostDate | datetime |  | YES | 
NumOrderInpot | nvarchar | 50 | YES | 
Buy | char | 1 | YES | 
ked_type | nvarchar | 50 | YES | 
numbering_type | int |  | YES | 
sanad_year | int |  | YES | 
sanad_month | int |  | YES | 
type | nvarchar | 50 | YES | 
branch_no | int |  | YES | 
user_name | nvarchar | 50 | YES | 
DEPARTEMENT | nvarchar | 50 | YES | 
sanad_type | nvarchar | 50 | YES | 
sanad_source | nvarchar | 50 | YES | 
Double_Entry_Vouchers_ID | int |  | YES | 
DAWRY | bit |  | YES | ((0))
KALEB | bit |  | YES | ((0))
projectAccountCode | nvarchar | 50 | YES | 
foxy_no | float |  | YES | 
person | nvarchar | 4000 | YES | 
project_Expensen_account | nvarchar | 50 | YES | 
salary | int |  | YES | 
displayed | int |  | YES | 
Adv_payment_value | money |  | YES | 
note_value_by_characters | nvarchar | 1000 | YES | 
too | nvarchar | 1000 | YES | 
notes_all | int |  | YES | 
general_cost_center | varchar | 200 | YES | 
numbering_type1 | int |  | YES | 
project_id | int |  | YES | 
Cus_or_sub | int |  | YES | 
project_depit_or_credit | int |  | YES | 
EmpAccountCode | varchar | 500 | YES | 
salary_or_advance | int |  | YES | 
general_des_notes | varchar | 1000 | YES | 
BTCashAccountcode | varchar | 500 | YES | 
ORDER_NO | varchar | 50 | YES | 
ItemID | int |  | YES | 
Transaction_ID1 | int |  | YES | 
auto_des | int |  | YES | 
BoxIDTo | int |  | YES | 
BankIDTo | int |  | YES | 
DrawingType | int |  | YES | 
ChequeBoxID | int |  | YES | 
Destribute | bit |  | YES | 
EmployeeID | int |  | YES | 
BankName | nvarchar | 255 | YES | 
AccountsCode | nvarchar | 255 | YES | 
AdvanceID | int |  | YES | 
OldNoteSerial1 | nvarchar | 255 | YES | 
Emp_ID | int |  | YES | 
Doctype | int |  | YES | 
AllocationType | int |  | YES | 
EmpId | int |  | YES | 
TransferExpenses | float |  | YES | 
ExpensesRemark | nvarchar | 4000 | YES | 
RemarkE | nvarchar | 4000 | YES | 
branch_no1 | int |  | YES | 
branch_no2 | int |  | YES | 
Account_Code1 | nvarchar | 255 | YES | 
Account_Code2 | nvarchar | 255 | YES | 
PaymentType | int |  | YES | 
PaymentType1 | int |  | YES | 
BoxID1 | int |  | YES | 
BoxID2 | int |  | YES | 
bankID1 | int |  | YES | 
bankID2 | int |  | YES | 
TxtChequeNumber1 | nvarchar | 255 | YES | 
DtpChequeDueDate1 | datetime |  | YES | 
NoteDateH | nvarchar | 255 | YES | 
ManulaNO | nvarchar | 4000 | YES | 
CarId | int |  | YES | 
DriverId | int |  | YES | 
NCashingType | int |  | YES | 
note_count | int |  | YES | 
