=================================================================
DATABASE SCHEMAS FOR INCOMPLETE PROJECTS & EXTRACTS
=================================================================

-----------------------------------------------------------------
TABLE: projects
-----------------------------------------------------------------
ColumnName | DataType | MaxLen | IsNullable | DefaultValue
ManualNo | nvarchar | 255 | YES | 
BookNo | nvarchar | 255 | YES | 
ContractNo | nvarchar | 255 | YES | 
ContNo | int |  | YES | 
akarid | int |  | YES | 
unittype | int |  | YES | 
UnitNo | int |  | YES | 
interval | int |  | YES | 
intervaltype | int |  | YES | 
renterName | nvarchar | 4000 | YES | 
AllowDateH | nvarchar | 10 | YES | 
AllowDate | datetime |  | YES | 
NoteSerial2 | float |  | YES | 
NoteId2 | nvarchar | 255 | YES | 
Telephone | nvarchar | 255 | YES | 
StatusEarnest | int |  | YES | 
FilterID | int |  | YES | 
FIlterTotal | float |  | YES | 
commission | float |  | YES | 
rent | float |  | YES | 
Water | float |  | YES | 
Instrunce | float |  | YES | 
comX | float |  | YES | 
ComY | float |  | YES | 
CommissionOut | float |  | YES | 
NoteOrBonID | int |  | YES | 
comXold | float |  | YES | 
ComYold | float |  | YES | 
NoteOrBonValue | float |  | YES | 
NoteOrBonSereal | nvarchar | 4000 | YES | 
FrmPriodDate | datetime |  | YES | 
ToPriodDate | datetime |  | YES | 
FrmPriodDateH | nvarchar | 10 | YES | 
ToPriodDateH | nvarchar | 10 | YES | 
Remark2 | nvarchar | 4000 | YES | 
OrderIDD | float |  | YES | 
AdvanceIDD | int |  | YES | 
ProjectID | int |  | YES | 
Pand | int |  | YES | 
Oper | int |  | YES | 
subcontractType | int |  | YES | 
fixedid | int |  | YES | 
Count | float |  | YES | 
price | float |  | YES | 
discount | float |  | YES | 
Electricity | float |  | YES | 
commdiscounttype | int |  | YES | 
Commdiscountvalue | float |  | YES | 
Commdiscountvalue1 | float |  | YES | 
CommdiscountAccount | nvarchar | 400 | YES | 
OrderSerial | nvarchar | 255 | YES | 
OrderID | int |  | YES | 
DeptID | int |  | YES | 
Status | int |  | YES | 
Prefix | nvarchar | 255 | YES | 
PayrollMonth | int |  | YES | 
PayrollYear | int |  | YES | 
empDes | text | 2147483647 | YES | 
empDes1 | text | 2147483647 | YES | 
PayDes | nvarchar | 4000 | YES | 
PayDes1 | nvarchar | 4000 | YES | 
Due | int |  | YES | 
TypAmola | int |  | YES | 
AmolaValus | float |  | YES | 
TxtNoSupplerDes | nvarchar | 4000 | YES | 
TxtOrderSuppler | int |  | YES | 
NumIqama | nvarchar | 100 | YES | 
TransferExpensesBranch | float |  | YES | 
ToCommision | bit |  | YES | 
BeneficiaryBanck | nvarchar | 255 | YES | 
BeneficiaryAddress | nvarchar | 4000 | YES | 
BeneficiaryACNo | nvarchar | 100 | YES | 
BenefiBanckAddress | nvarchar | 4000 | YES | 
BenefiBanckCode | nvarchar | 100 | YES | 
RemitterName | nvarchar | 255 | YES | 
ReportName | nvarchar | 400 | YES | 
BenefNumIqama | nvarchar | 100 | YES | 
BenefCountry | nvarchar | 400 | YES | 
BenefCity | nvarchar | 400 | YES | 
BenefStreet | nvarchar | 400 | YES | 
BenefGovernorate | nvarchar | 400 | YES | 
Country | nvarchar | 400 | YES | 
Governorate | nvarchar | 400 | YES | 
City | nvarchar | 400 | YES | 
Street | nvarchar | 400 | YES | 
Adress2 | nvarchar | 4000 | YES | 
KafelName | nvarchar | 255 | YES | 
KafeltEL | nvarchar | 255 | YES | 
BenefTelephone | nvarchar | 255 | YES | 
BenefIBAN | nvarchar | 255 | YES | 
BenefPlaceIqama | nvarchar | 255 | YES | 
KafelAddress | nvarchar | 4000 | YES | 
BenefDateExpEqama | nvarchar | 20 | YES | 
BenefBrithDate | datetime |  | YES | 
BenefPlaceBrith | nvarchar | 2500 | YES | 
EmpIDD | int |  | YES | 
LockedInterval | bit |  | YES | 
TxtEndService | int |  | YES | 
Month_Req | int |  | YES | 
Year_Req | int |  | YES | 
Brnch_Req | int |  | YES | 
AssestPayd | bit |  | YES | 
InsuranceValue | float |  | YES | 
Servce | float |  | YES | 
PayedOrBon | int |  | YES | 
RemaiValue | float |  | YES | 
Total2 | float |  | YES | 
Sal2 | float |  | YES | 
net2 | float |  | YES | 
VlueVaction2 | float |  | YES | 
TicketValue2 | float |  | YES | 
Custom2 | float |  | YES | 
AdvanceTotal2 | float |  | YES | 
Cash2 | float |  | YES | 
Salary2 | float |  | YES | 
SalEntitOther2 | float |  | YES | 
Other2 | float |  | YES | 
Advance12 | float |  | YES | 
InsuranceValue2 | float |  | YES | 
LastTotal2 | float |  | YES | 
SalaryVocation2 | float |  | YES | 
ValueTickt2 | float |  | YES | 
Totalsalary2 | float |  | YES | 
CusTiket2 | float |  | YES | 
CusTiket | float |  | YES | 
AddOther | float |  | YES | 
AddOther2 | float |  | YES | 
ValEndService2 | float |  | YES | 
ValEndService | float |  | YES | 
TotalDis2 | float |  | YES | 
TotalDis | float |  | YES | 
total | float |  | YES | 
Sal | float |  | YES | 
TicketValue | float |  | YES | 
Custom | float |  | YES | 
LastTotal | float |  | YES | 
Cash | float |  | YES | 
VlueVaction | float |  | YES | 
AdvanceTotal | float |  | YES | 
EmpIDEnd | int |  | YES | 
BrnchIDEnd | int |  | YES | 
EmpIDVac | int |  | YES | 
BrnchIDVac | int |  | YES | 
Salary33 | float |  | YES | 
SalEntitOther | float |  | YES | 
Other | float |  | YES | 
Advance1 | float |  | YES | 
SalaryVocation | float |  | YES | 
ValueTickt | float |  | YES | 
Salary3 | float |  | YES | 
SalEntitOther3 | float |  | YES | 
SalaryVocation3 | float |  | YES | 
Other3 | float |  | YES | 
ValueTickt3 | float |  | YES | 
Advance13 | float |  | YES | 
InsuranceValue3 | float |  | YES | 
Copied | int |  | YES | 
Discounts | float |  | YES | 
Discounts2 | float |  | YES | 
OnlineData | int |  | YES | 
TicktConract | float |  | YES | 
TotlPaidEndSer | float |  | YES | 
total3 | float |  | YES | 
Sal3 | float |  | YES | 
Custom3 | float |  | YES | 
TicketValue3 | float |  | YES | 
AddOther3 | float |  | YES | 
net3 | float |  | YES | 
ValEndService3 | float |  | YES | 
AdvanceTotal3 | float |  | YES | 
VlueVaction3 | float |  | YES | 
Cash3 | float |  | YES | 
Discounts3 | float |  | YES | 
TotalDis3 | float |  | YES | 
AccountPaym | nvarchar | 55 | YES | 
EmpBranchID | int |  | YES | 
ContractorID | int |  | YES | 
ProjectMainID | int |  | YES | 
CurrentBalance | float |  | YES | 
PaymentValue | float |  | YES | 
Percentage | float |  | YES | 
PercentageValue | float |  | YES | 
TypeTrans | int |  | YES | 
Insurance | float |  | YES | 
Maintenance2 | float |  | YES | 
Maintenance3 | float |  | YES | 
Maintenance | float |  | YES | 
RemainRent2 | float |  | YES | 
RemainRent3 | float |  | YES | 
MaintCondition3 | float |  | YES | 
MaintCondition2 | float |  | YES | 
MaintCondition | float |  | YES | 
MaintClean3 | float |  | YES | 
MaintClean2 | float |  | YES | 
MaintClean | float |  | YES | 
Paints2 | float |  | YES | 
Paints3 | float |  | YES | 
Paints | float |  | YES | 
Maintkitchen2 | float |  | YES | 
Maintkitchen3 | float |  | YES | 
Maintkitchen | float |  | YES | 
Electricity12 | float |  | YES | 
Electricity13 | float |  | YES | 
Electricity1 | float |  | YES | 
MaintDoors2 | float |  | YES | 
MaintDoors3 | float |  | YES | 
MaintDoors | float |  | YES | 
Windows2 | float |  | YES | 
Windows3 | float |  | YES | 
Windows | float |  | YES | 
MaintOther2 | float |  | YES | 
MaintOther | float |  | YES | 
MaintOther3 | float |  | YES | 
Total22 | float |  | YES | 
Total23 | float |  | YES | 
TotalAftreIns | float |  | YES | 
TotalAftreIns2 | float |  | YES | 
TotalAftreIns3 | float |  | YES | 
Net | float |  | YES | 
RemainRent | float |  | YES | 
Total21 | float |  | YES | 
posted | bit |  | YES | 
PostedDate | datetime |  | YES | 
DisSalary | float |  | YES | 
DisSalary2 | float |  | YES | 
DisSalaryPayed | float |  | YES | 
auto_Sus | int |  | YES | 
CurrncyID | int |  | YES | 
Note_ValueE | float |  | YES | 
Rate | float |  | YES | 
Price2 | float |  | YES | 
Price3 | float |  | YES | 
RemPrice | float |  | YES | 
LockSalary | int |  | YES | 
VATVowalNo | int |  | YES | 
VAT | float |  | YES | 
VATYou | float |  | YES | 
TotalValue | float |  | YES | 
AccountCodeVat | nvarchar | 55 | YES | 
IncludVAT | int |  | YES | 
PreVAT | float |  | YES | 
totalPayed | int |  | YES | 
Fina_Pruch | int |  | YES | 
Account_DebitSide | nvarchar | 55 | YES | 
Account_CreditSide | nvarchar | 55 | YES | 
