object_type|schema_name|object_name
SQL_STORED_PROCEDURE|dbo|usp_POS_SaveTransaction
SQL_STORED_PROCEDURE|dbo|usp_POS_SaveTransaction
SQL_STORED_PROCEDURE|dbo|usp_POS_SaveTransaction
SQL_STORED_PROCEDURE|dbo|usp_POS_SearchAvailableKeshniCards
SQL_STORED_PROCEDURE|dbo|usp_POS_SearchAvailableKeshniCards
SQL_STORED_PROCEDURE|dbo|usp_POS_SystemHealth_Database
SQL_TABLE_VALUED_FUNCTION|dbo|CompanyCreditValues
SQL_TABLE_VALUED_FUNCTION|dbo|CompanyCreditValues
SQL_TABLE_VALUED_FUNCTION|dbo|CompanyDebitValues
SQL_TABLE_VALUED_FUNCTION|dbo|Cus_Account
SQL_TABLE_VALUED_FUNCTION|dbo|Cus_Account
SQL_TABLE_VALUED_FUNCTION|dbo|Cus_DelayVal
SQL_TABLE_VALUED_FUNCTION|dbo|Cus_DelayVal
SQL_TABLE_VALUED_FUNCTION|dbo|DestructionTime
SQL_TABLE_VALUED_FUNCTION|dbo|DestructionTime
SQL_TABLE_VALUED_FUNCTION|dbo|OLDQryTransactionsTotal
SQL_TABLE_VALUED_FUNCTION|dbo|OLDQryTransactionsTotal
SQL_TABLE_VALUED_FUNCTION|dbo|PriceListGard
SQL_TABLE_VALUED_FUNCTION|dbo|PriceListGard
SQL_TABLE_VALUED_FUNCTION|dbo|QryBalanceSheetGeneral
SQL_TABLE_VALUED_FUNCTION|dbo|QryBoxBalance
SQL_TABLE_VALUED_FUNCTION|dbo|QryBoxBalance
SQL_TABLE_VALUED_FUNCTION|dbo|QryBoxBalance11
SQL_TABLE_VALUED_FUNCTION|dbo|QryBoxBalance11
SQL_TABLE_VALUED_FUNCTION|dbo|QryBoxesCredit
SQL_TABLE_VALUED_FUNCTION|dbo|QryBoxesCredit
SQL_TABLE_VALUED_FUNCTION|dbo|QryCustomerBalance
SQL_TABLE_VALUED_FUNCTION|dbo|QryCustomerBalance
SQL_TABLE_VALUED_FUNCTION|dbo|QryEmpSalesCom
SQL_TABLE_VALUED_FUNCTION|dbo|QryEmpSalesCom1
SQL_TABLE_VALUED_FUNCTION|dbo|QryFoundSerial
SQL_TABLE_VALUED_FUNCTION|dbo|QryFoundSerial
SQL_TABLE_VALUED_FUNCTION|dbo|QryGardComplete
SQL_TABLE_VALUED_FUNCTION|dbo|QryGardComplete
SQL_TABLE_VALUED_FUNCTION|dbo|QryGardComplete_NEW
SQL_TABLE_VALUED_FUNCTION|dbo|QryGardComplete_NEW
SQL_TABLE_VALUED_FUNCTION|dbo|QryGARDShort
SQL_TABLE_VALUED_FUNCTION|dbo|QryGARDShort
SQL_TABLE_VALUED_FUNCTION|dbo|QryGardToTrans
SQL_TABLE_VALUED_FUNCTION|dbo|QryGardToTrans
SQL_TABLE_VALUED_FUNCTION|dbo|QryItemCartReport
SQL_TABLE_VALUED_FUNCTION|dbo|QryItemCartReport
SQL_TABLE_VALUED_FUNCTION|dbo|QryItemFifoTransactions
SQL_TABLE_VALUED_FUNCTION|dbo|QryItemFifoTransactions
SQL_TABLE_VALUED_FUNCTION|dbo|QryItemsInOutTransactions
SQL_TABLE_VALUED_FUNCTION|dbo|QryItemsInOutTransactions
SQL_TABLE_VALUED_FUNCTION|dbo|QryItemsInOutTransactionsDes
SQL_TABLE_VALUED_FUNCTION|dbo|QryItemsInOutTransactionsDes
SQL_TABLE_VALUED_FUNCTION|dbo|QryItemsInventry
SQL_TABLE_VALUED_FUNCTION|dbo|QryItemsInventry
SQL_TABLE_VALUED_FUNCTION|dbo|QryItemsInventry1
SQL_TABLE_VALUED_FUNCTION|dbo|QryItemsInventry1
SQL_TABLE_VALUED_FUNCTION|dbo|QryItemsInventry2
SQL_TABLE_VALUED_FUNCTION|dbo|QryItemsInventry2
SQL_TABLE_VALUED_FUNCTION|dbo|QryItemsInventry3
SQL_TABLE_VALUED_FUNCTION|dbo|QryItemsInventry3
SQL_TABLE_VALUED_FUNCTION|dbo|QryItemsQTY
SQL_TABLE_VALUED_FUNCTION|dbo|QryItemsQTY
SQL_TABLE_VALUED_FUNCTION|dbo|QryItemsQTYALL
SQL_TABLE_VALUED_FUNCTION|dbo|QryItemsQTYALL
SQL_TABLE_VALUED_FUNCTION|dbo|QryItemsSalesTotal
SQL_TABLE_VALUED_FUNCTION|dbo|QryItemsSalesTotal
SQL_TABLE_VALUED_FUNCTION|dbo|QryItemsTransactionsTotals
SQL_TABLE_VALUED_FUNCTION|dbo|QryItemsTransactionsTotals
SQL_TABLE_VALUED_FUNCTION|dbo|QryItemsTransactionsTotals2
SQL_TABLE_VALUED_FUNCTION|dbo|QryItemsTransactionsTotals2
SQL_TABLE_VALUED_FUNCTION|dbo|QryItemsTransactionsTotalsByStores
SQL_TABLE_VALUED_FUNCTION|dbo|QryItemsTransactionsTotalsByStores
SQL_TABLE_VALUED_FUNCTION|dbo|QryItemTransactions
