"DatabaseName","FKName","ParentSchema","ParentTable","ParentColumn","ReferencedSchema","ReferencedTable","ReferencedColumn","delete_referential_action_desc","update_referential_action_desc","constraint_column_id"
"Adnan","FK_TblChangeEmployeedataDetails_TblEmployee","dbo","TblChangeEmployeedataDetails","Emp_id","dbo","TblEmployee","Emp_ID","CASCADE","CASCADE","1"
"Adnan","FK_TblCheckRelease_TblCheckReleaseType","dbo","TblCheckRelease","OperaType","dbo","TblCheckReleaseType","CheckTypeID","NO_ACTION","NO_ACTION","1"
"Adnan","FK_TblCombositAccountDetails_TblCombositAccount","dbo","TblCombositAccountDetails","CombositAccountid","dbo","TblCombositAccount","CombositAccountid","CASCADE","CASCADE","1"
"Adnan","FK_TblContractDetails_Contract","dbo","TblContractDetails","Contract_ID","dbo","Contract","Contract_ID","CASCADE","CASCADE","1"
"Adnan","FK_tblContractInsAllocationsDetails_tblContractInsAllocations","dbo","tblContractInsAllocationsDetails","transID","dbo","tblContractInsAllocations","transID","CASCADE","CASCADE","1"
"Adnan","FK_tblContractInsAllocationsDetails1_tblContractInsAllocations","dbo","tblContractInsAllocationsDetails1","transID","dbo","tblContractInsAllocations","transID","CASCADE","CASCADE","1"
"Adnan","FK_tblContractInsAllocationsDetails2_tblContractInsAllocations1","dbo","tblContractInsAllocationsDetails2","transID","dbo","tblContractInsAllocations1","transID","CASCADE","CASCADE","1"
"Adnan","FK_TblContractInstallments_TblContract","dbo","TblContractInstallments","ContNo","dbo","TblContract","ContNo","CASCADE","CASCADE","1"
"Adnan","FK_tblCriteriaSettingsDetails_tblCriteriaSettings","dbo","tblCriteriaSettingsDetails","lMessageDefID","dbo","tblCriteriaSettings","id","CASCADE","CASCADE","1"
"Adnan","FK_TblCustomerContractDetails_TblCustomerContract","dbo","TblCustomerContractDetails","TblCustomerContractD","dbo","TblCustomerContract","TblCustomerContractD","CASCADE","CASCADE","1"
"Adnan","FK_TblCustomerContractDetails_TblItems","dbo","TblCustomerContractDetails","ItemID","dbo","TblItems","ItemID","CASCADE","CASCADE","1"
"Adnan","FK_TblCustomerContractDetailsGroups_Groups","dbo","TblCustomerContractDetailsGroups","GroupID","dbo","Groups","GroupID","CASCADE","CASCADE","1"
"Adnan","FK_TblCustomerContractDetailsGroups_TblCustomerContract","dbo","TblCustomerContractDetailsGroups","TblCustomerContractD","dbo","TblCustomerContract","TblCustomerContractD","CASCADE","CASCADE","1"
"Adnan","FK_TblEmpADvancedComponentsDetails_TblEmpADvancedComponents","dbo","TblEmpADvancedComponentsDetails","EmpAllocationsid","dbo","TblEmpADvancedComponents","EmpAllocationsid","CASCADE","CASCADE","1"
"Adnan","FK_TblEmpADvancedComponentsDetails_TblEmployee","dbo","TblEmpADvancedComponentsDetails","Emp_id","dbo","TblEmployee","Emp_ID","CASCADE","CASCADE","1"
"Adnan","FK_TblEmpAdvanceDetails_TblEmpAdvance","dbo","TblEmpAdvanceDetails","AdvanceID","dbo","TblEmpAdvance","AdvanceID","CASCADE","CASCADE","1"
