"TableName","ColumnName","DataType"
"TblApproveCompoYear","NoteID","int"
"TblApproveCompoYear","NoteSerial","nvarchar"
"TblAqar","ContValue","float"
"TblAqar","DateHCont","nvarchar"
"TblAqar","DateCont","datetime"
"TblAqar","FirstInstallDateH","nvarchar"
"TblAqar","NoteID","int"
"TblAqar","NoteSerial","nvarchar"
"TblAqar","NoteSerial1","nvarchar"
"TblAqar","TxtContValueWithout","float"
"TblAqarCommissions","ContNo","int"
"TblAqarCommissions","FilterNo","int"
"TblAqarCommissions","NoteID","int"
"TblAqarDetai","FilterDateH","nvarchar"
"TblAqarDetai","FilterDate","datetime"
"TblAqarDetai","ContID","int"
"TblAqrEarnest","NoteID","int"
"TblAqrOwin","Cont","int"
"TblAttributionContract","EndContractDate","datetime"
"TblAttributionContract","EndContractDateh","nvarchar"
"TblAttributionContract","StartContractDate","datetime"
"TblAttributionContract","StartContractDateh","nvarchar"
"TblAttributionContract","MinistryContractNo","nvarchar"
"TblAttributionContract","ContractType","int"
"TblAttributionInstallmentDivided","noteID","float"
"TblAttributionInstallmentDivided","noteserial1","nvarchar"
"TblBankPledge","Notes","nvarchar"
"TblBankPledge2","Notes","nvarchar"
"TblBankPledge3","Notes","nvarchar"
"TblBankPledge4","Notes","nvarchar"
"TblBanksCollect","NoteSerial","nvarchar"
"TblBanksCollect","NoteSerial1","nvarchar"
"TblBanksCollect","NoteID","int"
"TblBanksCollect","OldNoteSerial1","nvarchar"
"TblBanksCollectDetails","NoteID","int"
"TblBanksCollectDetails","notes_all","nvarchar"
"TblBanksDeposite","NoteSerial","nvarchar"
"TblBanksDeposite","NoteSerial1","nvarchar"
"TblBanksDeposite","NoteID","int"
"TblBanksDeposite","OldNoteSerial1","nvarchar"
"TblBanksDepositeDetails","NoteID","int"
"TBLBankSettlementJoin","notes_id","int"
"TBLBankSettlementJoin","NoteType","int"
"TBLBankSettlementJoin","NoteSerial","float"
"TBLBankSettlementJoin","NoteSerial1","float"
