"DatabaseName","SchemaName","TableName","Rows"
"Adnan","dbo","TblAging","0"
"Adnan","dbo","TblAirlines","0"
"Adnan","dbo","TblAirport","0"
"Adnan","dbo","tblAkarType","2"
"Adnan","dbo","TblAkarUnit","13"
"Adnan","dbo","TblAlarmQuntity","0"
"Adnan","dbo","TblAlarmType","1"
"Adnan","dbo","TblAmoutType","6"
"Adnan","dbo","TblAotherItems","0"
"Adnan","dbo","TblAppointmentlist","0"
"Adnan","dbo","TblAppointmentlist2","0"
"Adnan","dbo","TblApprovalDef","0"
"Adnan","dbo","TblApprovalDefDetails","0"
"Adnan","dbo","TblApproveCompoYear","0"
"Adnan","dbo","TblApproveCompoYearDet","0"
"Adnan","dbo","TblApproveShift","0"
"Adnan","dbo","TblApproveShiftDet","0"
"Adnan","dbo","TblAproveInvoice","0"
"Adnan","dbo","TblAqar","28"
"Adnan","dbo","TblAqarCommissions","9869"
"Adnan","dbo","TblAqarDetai","367"
"Adnan","dbo","TblAqarDetai2","0"
"Adnan","dbo","TblAqarDetai3","0"
"Adnan","dbo","TblAqrCompenet","10"
"Adnan","dbo","TblAqrCompenetDet","14"
"Adnan","dbo","TblAqrEarnest","0"
"Adnan","dbo","TblAqrOwin","0"
"Adnan","dbo","TblAssestes","44"
"Adnan","dbo","TblAttendance","0"
"Adnan","dbo","TblAttendanceDet","0"
"Adnan","dbo","TblAttributionContract","0"
"Adnan","dbo","TblAttributionInstallmentDivided","0"
"Adnan","dbo","TblAveragGrm","0"
"Adnan","dbo","TblBalanceSheetDetails","0"
"Adnan","dbo","TblBalanceSheetHeader","0"
"Adnan","dbo","TblBankPledge","0"
"Adnan","dbo","TblBankPledge2","0"
"Adnan","dbo","TblBankPledge3","0"
"Adnan","dbo","TblBankPledge4","0"
"Adnan","dbo","tblbanksCheques","0"
"Adnan","dbo","tblbanksChequesDetails","0"
"Adnan","dbo","TblBanksCollect","0"
"Adnan","dbo","TblBanksCollectDetails","0"
"Adnan","dbo","TblBanksDeposite","141"
"Adnan","dbo","TblBanksDepositeDetails","140"
"Adnan","dbo","TBLBankSettlement","0"
"Adnan","dbo","TBLBankSettlementJoin","0"
"Adnan","dbo","TblBarcodePrinting","0"
"Adnan","dbo","TblBarcodePrintingDet","0"
"Adnan","dbo","tblBaseCurve","0"
"Adnan","dbo","TblBatchSheet","0"
"Adnan","dbo","TblBatchSheetDet","0"
"Adnan","dbo","TblBillBuyPayment","0"
"Adnan","dbo","TblBillBuyPayment2","0"
"Adnan","dbo","TblBillComputerChek","0"
"Adnan","dbo","TblBillComputerChekDetails","0"
"Adnan","dbo","TblBillProjectPayment","0"
"Adnan","dbo","TblBillVindorPayment","0"
"Adnan","dbo","TblboKRegister","0"
"Adnan","dbo","TblBookingBondsInvs","0"
"Adnan","dbo","TblBookingBondsInvsDet","0"
"Adnan","dbo","TblBookingRequest","0"
"Adnan","dbo","tblbookingrequest2","0"
"Adnan","dbo","TblBoxesData","6"
"Adnan","dbo","tblBoxesTemp","0"
"Adnan","dbo","TblBoxStock","0"
"Adnan","dbo","TblBoxStockDetails","0"
"Adnan","dbo","TblBranchesData","3"
"Adnan","dbo","tblBrands","0"
"Adnan","dbo","tblBreaking","0"
"Adnan","dbo","TblBusesDistribution","0"
"Adnan","dbo","TblBusesDistributionDet","0"
"Adnan","dbo","TblBuyBilllInvestment","0"
"Adnan","dbo","TblBuyBilllInvestmentDet","0"
"Adnan","dbo","TblBuyLanReEst","0"
"Adnan","dbo","TblBuyLanReEstInsta","0"
"Adnan","dbo","TblCameraLocations","1"
"Adnan","dbo","TblCaptinTrans","0"
"Adnan","dbo","TblCaptinTrans2","0"
