"DatabaseName","SchemaName","TableName","Rows"
"RSMDB","dbo","SubcontractorContract2","0"
"RSMDB","dbo","Subject_doc","232"
"RSMDB","dbo","subject_templates","0"
"RSMDB","dbo","subjects_images","8"
"RSMDB","dbo","Subscription_TYPES","3"
"RSMDB","dbo","SuperTech","0"
"RSMDB","dbo","Supervisors","0"
"RSMDB","dbo","SystemVersion","1"
"RSMDB","dbo","Table_Pictures","0"
"RSMDB","dbo","takeem","2"
"RSMDB","dbo","TbExpensespaidAdvanced","0"
"RSMDB","dbo","TbExpensespaidJoin","0"
"RSMDB","dbo","TbExpensesprovided","0"
"RSMDB","dbo","Tbl_BusinessDialy","0"
"RSMDB","dbo","Tbl_BusinessDialyDet","0"
"RSMDB","dbo","TBL_measureMent","0"
"RSMDB","dbo","TBL_measureMent2","0"
"RSMDB","dbo","Tbl_TradingContract","0"
"RSMDB","dbo","Tbl_TradingContractDet","0"
"RSMDB","dbo","Tbl_TradingContractInv","0"
"RSMDB","dbo","Tbl_TradingContractInvDet","0"
"RSMDB","dbo","Tbl_TransOrder","0"
"RSMDB","dbo","tblAbsent","0"
"RSMDB","dbo","TblAcceleratePayment","0"
"RSMDB","dbo","TblAcceleratePaymentDet","0"
"RSMDB","dbo","TblAccidentReport","0"
"RSMDB","dbo","TblAccidentReportDet","0"
"RSMDB","dbo","TblAccountBranch","0"
"RSMDB","dbo","TblAccountIntervals","120"
"RSMDB","dbo","TblAccountsDestributions","0"
"RSMDB","dbo","TblAccountsDestributionsDetails","0"
"RSMDB","dbo","TblAccountsDestributionsIntervals","0"
"RSMDB","dbo","TblAccountUser","0"
"RSMDB","dbo","TblActivateInvestment","0"
"RSMDB","dbo","TblActivateInvestmentDet","0"
"RSMDB","dbo","tblActivitesType","2"
"RSMDB","dbo","TblAddExceptionDays","0"
"RSMDB","dbo","TblAdditionsAssest","37"
"RSMDB","dbo","TblAdjectiveFarm","0"
"RSMDB","dbo","TblAdminSanction","0"
"RSMDB","dbo","TblAdvancedHousing","0"
"RSMDB","dbo","TblAge","0"
"RSMDB","dbo","TblAging","15"
"RSMDB","dbo","TblAirlines","0"
"RSMDB","dbo","TblAirport","0"
"RSMDB","dbo","tblAkarType","3"
"RSMDB","dbo","TblAkarUnit","18"
"RSMDB","dbo","TblAlarmQuntity","0"
"RSMDB","dbo","TblAlarmType","0"
"RSMDB","dbo","TblAmoutType","6"
"RSMDB","dbo","TblAotherItems","26"
"RSMDB","dbo","TblAppointmentlist","0"
"RSMDB","dbo","TblAppointmentlist2","0"
"RSMDB","dbo","TblApprovalDef","0"
"RSMDB","dbo","TblApprovalDefDetails","0"
"RSMDB","dbo","TblApproveCompoYear","0"
"RSMDB","dbo","TblApproveCompoYearDet","0"
"RSMDB","dbo","TblApproveShift","0"
"RSMDB","dbo","TblApproveShiftDet","0"
"RSMDB","dbo","TblAproveInvoice","0"
"RSMDB","dbo","TblAqar","16"
"RSMDB","dbo","TblAqarCommissions","10530"
"RSMDB","dbo","TblAqarDetai","629"
"RSMDB","dbo","TblAqarDetai2","0"
"RSMDB","dbo","TblAqarDetai3","0"
"RSMDB","dbo","TblAqrCompenet","1"
"RSMDB","dbo","TblAqrCompenetDet","1"
"RSMDB","dbo","TblAqrEarnest","84"
"RSMDB","dbo","TblAqrOwin","4"
"RSMDB","dbo","TblAssestes","369"
"RSMDB","dbo","TblAttendance","0"
"RSMDB","dbo","TblAttendanceDet","0"
"RSMDB","dbo","TblAttributionContract","0"
"RSMDB","dbo","TblAttributionInstallmentDivided","0"
