"DatabaseName","SchemaName","TableName","Rows"
"Alromaizan","dbo","Nationality","5"
"Alromaizan","dbo","OccuredNotifications","10"
"Alromaizan","dbo","OfficialVacation","4"
"Alromaizan","dbo","OnlineUsers","8"
"Alromaizan","dbo","Order","0"
"Alromaizan","dbo","OrderHistory","0"
"Alromaizan","dbo","OrderItem","0"
"Alromaizan","dbo","OrderRequest","0"
"Alromaizan","dbo","OrderServices","0"
"Alromaizan","dbo","OrderSpareParts","0"
"Alromaizan","dbo","OrderStatus","3"
"Alromaizan","dbo","OvertimeIssue","0"
"Alromaizan","dbo","OvertimeIssueDetials","0"
"Alromaizan","dbo","OvertimeType","2"
"Alromaizan","dbo","OvertimeTypeDetail","2"
"Alromaizan","dbo","PageAction","913"
"Alromaizan","dbo","Party","2"
"Alromaizan","dbo","PartyBooking","0"
"Alromaizan","dbo","PartyImage","0"
"Alromaizan","dbo","Patch","0"
"Alromaizan","dbo","Patient","1"
"Alromaizan","dbo","PaymentMethod","6"
"Alromaizan","dbo","PenaltyIssue","0"
"Alromaizan","dbo","PenaltyIssueDetails","0"
"Alromaizan","dbo","PenaltyType","1"
"Alromaizan","dbo","PenaltyTypeDetail","1"
"Alromaizan","dbo","PeriodType","4"
"Alromaizan","dbo","Pos","1"
"Alromaizan","dbo","PosClosing","0"
"Alromaizan","dbo","PosClosingCurrencyCategory","0"
"Alromaizan","dbo","PosClosingDetail","0"
"Alromaizan","dbo","PosCustomer","1"
"Alromaizan","dbo","PosReceiptVoucher","0"
"Alromaizan","dbo","PosReceiptVoucherCustomerType","0"
"Alromaizan","dbo","PosReceiptVoucherDetail","0"
"Alromaizan","dbo","PosStatus","2"
"Alromaizan","dbo","PosWaiter","0"
"Alromaizan","dbo","PrepaidExpense","0"
"Alromaizan","dbo","PrepaidExpenseDetail","0"
"Alromaizan","dbo","Project","0"
"Alromaizan","dbo","ProjectDetail","0"
"Alromaizan","dbo","ProjectItemOperation","0"
"Alromaizan","dbo","Property","1"
"Alromaizan","dbo","PropertyBatch","1"
"Alromaizan","dbo","PropertyBillRegisteration","0"
"Alromaizan","dbo","PropertyComponent","0"
"Alromaizan","dbo","PropertyComponentDetail","0"
"Alromaizan","dbo","PropertyContract","0"
"Alromaizan","dbo","PropertyContractBatch","0"
"Alromaizan","dbo","PropertyContractImage","0"
"Alromaizan","dbo","PropertyContractMergedUnit","0"
"Alromaizan","dbo","PropertyContractRep","0"
"Alromaizan","dbo","PropertyContractTermination","0"
"Alromaizan","dbo","PropertyContractTerminationDamage","0"
"Alromaizan","dbo","PropertyContractTerminationDetail","0"
"Alromaizan","dbo","PropertyDetail","0"
"Alromaizan","dbo","PropertyDueBatch","1"
"Alromaizan","dbo","PropertyDueBatchDetail","0"
"Alromaizan","dbo","PropertyNotification","0"
"Alromaizan","dbo","PropertyNotificationType","0"
"Alromaizan","dbo","PropertyOwner","1"
"Alromaizan","dbo","PropertyPaymentHistory","0"
"Alromaizan","dbo","PropertyRenter","1"
"Alromaizan","dbo","PropertyRenterImage","0"
"Alromaizan","dbo","PropertyRevenueProof","0"
"Alromaizan","dbo","PropertyRevenueProofDetail","0"
"Alromaizan","dbo","PropertyStatus","1"
"Alromaizan","dbo","PropertyType","2"
"Alromaizan","dbo","PropertyUnit","0"
