
TableName              ColumnName                         TypeName      max_length is_nullable
Notes                  RemitterName                       nvarchar             510        True
Notes                  ReportName                         nvarchar             800        True
Notes                  BenefNumIqama                      nvarchar             200        True
Notes                  BenefCountry                       nvarchar             800        True
Notes                  BenefCity                          nvarchar             800        True
Notes                  BenefStreet                        nvarchar             800        True
Notes                  BenefGovernorate                   nvarchar             800        True
Notes                  Country                            nvarchar             800        True
Notes                  Governorate                        nvarchar             800        True
Notes                  City                               nvarchar             800        True
Notes                  Street                             nvarchar             800        True
Notes                  Adress2                            nvarchar            8000        True
Notes                  KafelName                          nvarchar             510        True
Notes                  KafeltEL                           nvarchar             510        True
Notes                  BenefTelephone                     nvarchar             510        True
Notes                  BenefIBAN                          nvarchar             510        True
Notes                  BenefPlaceIqama                    nvarchar             510        True
Notes                  KafelAddress                       nvarchar            8000        True
Notes                  BenefDateExpEqama                  nvarchar              40        True
Notes                  BenefBrithDate                     datetime               8        True
Notes                  BenefPlaceBrith                    nvarchar            5000        True
Notes                  EmpIDD                             int                    4        True
Notes                  LockedInterval                     bit                    1        True
Notes                  TxtEndService                      int                    4        True
Notes                  Month_Req                          int                    4        True
Notes                  Year_Req                           int                    4        True
Notes                  Brnch_Req                          int                    4        True
Notes                  AssestPayd                         bit                    1        True
Notes                  InsuranceValue                     float                  8        True
Notes                  Servce                             float                  8        True
Notes                  PayedOrBon                         int                    4        True
Notes                  RemaiValue                         float                  8        True
Notes                  Total2                             float                  8        True
Notes                  Sal2                               float                  8        True
Notes                  net2                               float                  8        True
Notes                  VlueVaction2                       float                  8        True
Notes                  TicketValue2                       float                  8        True
Notes                  Custom2                            float                  8        True
Notes                  AdvanceTotal2                      float                  8        True
Notes                  Cash2                              float                  8        True
Notes                  Salary2                            float                  8        True
Notes                  SalEntitOther2                     float                  8        True
Notes                  Other2                             float                  8        True
Notes                  Advance12                          float                  8        True
Notes                  InsuranceValue2                    float                  8        True
Notes                  LastTotal2                         float                  8        True
Notes                  SalaryVocation2                    float                  8        True
Notes                  ValueTickt2                        float                  8        True
Notes                  Totalsalary2                       float                  8        True
Notes                  CusTiket2                          float                  8        True
Notes                  CusTiket                           float                  8        True
Notes                  AddOther                           float                  8        True
Notes                  AddOther2                          float                  8        True
Notes                  ValEndService2                     float                  8        True
Notes                  ValEndService                      float                  8        True
Notes                  TotalDis2                          float                  8        True
Notes                  TotalDis                           float                  8        True
Notes                  total                              float                  8        True
Notes                  Sal                                float                  8        True
Notes                  TicketValue                        float                  8        True
Notes                  Custom                             float                  8        True
Notes                  LastTotal                          float                  8        True
Notes                  Cash                               float                  8        True
Notes                  VlueVaction                        float                  8        True
Notes                  AdvanceTotal                       float                  8        True
Notes                  EmpIDEnd                           int                    4        True
Notes                  BrnchIDEnd                         int                    4        True
Notes                  EmpIDVac                           int                    4        True
Notes                  BrnchIDVac                         int                    4        True
Notes                  Salary33                           float                  8        True
Notes                  SalEntitOther                      float                  8        True
Notes                  Other                              float                  8        True
Notes                  Advance1                           float                  8        True
Notes                  SalaryVocation                     float                  8        True
Notes                  ValueTickt                         float                  8        True
Notes                  Salary3                            float                  8        True
Notes                  SalEntitOther3                     float                  8        True
Notes                  SalaryVocation3                    float                  8        True
Notes                  Other3                             float                  8        True
Notes                  ValueTickt3                        float                  8        True
Notes                  Advance13                          float                  8        True
Notes                  InsuranceValue3                    float                  8        True
Notes                  Copied                             int                    4        True
Notes                  Discounts                          float                  8        True
Notes                  Discounts2                         float                  8        True
Notes                  OnlineData                         int                    4        True
Notes                  TicktConract                       float                  8        True
Notes                  TotlPaidEndSer                     float                  8        True
Notes                  total3                             float                  8        True
Notes                  Sal3                               float                  8        True
Notes                  Custom3                            float                  8        True
Notes                  TicketValue3                       float                  8        True
Notes                  AddOther3                          float                  8        True
Notes                  net3                               float                  8        True
Notes                  ValEndService3                     float                  8        True
Notes                  AdvanceTotal3                      float                  8        True
Notes                  VlueVaction3                       float                  8        True
Notes                  Cash3                              float                  8        True
Notes                  Discounts3                         float                  8        True
Notes                  TotalDis3                          float                  8        True
Notes                  AccountPaym                        nvarchar             110        True
Notes                  EmpBranchID                        int                    4        True
Notes                  ContractorID                       int                    4        True
Notes                  ProjectMainID                      int                    4        True
Notes                  CurrentBalance                     float                  8        True
Notes                  PaymentValue                       float                  8        True
Notes                  Percentage                         float                  8        True
Notes                  PercentageValue                    float                  8        True
Notes                  TypeTrans                          int                    4        True
Notes                  Insurance                          float                  8        True
