
TableName                         column_id ColumnName                         TypeName        
Notes                                    39 DAWRY                              bit             
Notes                                    40 KALEB                              bit             
Notes                                    41 projectAccountCode                 nvarchar        
Notes                                    42 foxy_no                            float           
Notes                                    43 person                             nvarchar        
Notes                                    44 project_Expensen_account           nvarchar        
Notes                                    45 salary                             int             
Notes                                    46 displayed                          int             
Notes                                    47 Adv_payment_value                  money           
Notes                                    48 note_value_by_characters           nvarchar        
Notes                                    49 too                                nvarchar        
Notes                                    50 notes_all                          int             
Notes                                    51 general_cost_center                varchar         
Notes                                    52 numbering_type1                    int             
Notes                                    53 project_id                         int             
Notes                                    54 Cus_or_sub                         int             
Notes                                    55 project_depit_or_credit            int             
Notes                                    56 EmpAccountCode                     varchar         
Notes                                    57 salary_or_advance                  int             
Notes                                    58 general_des_notes                  varchar         
Notes                                    59 BTCashAccountcode                  varchar         
Notes                                    60 ORDER_NO                           varchar         
Notes                                    61 ItemID                             int             
Notes                                    62 Transaction_ID1                    int             
Notes                                    63 auto_des                           int             
Notes                                    67 BoxIDTo                            int             
Notes                                    68 BankIDTo                           int             
Notes                                    69 DrawingType                        int             
Notes                                    70 ChequeBoxID                        int             
Notes                                    71 Destribute                         bit             
Notes                                    72 EmployeeID                         int             
Notes                                    73 BankName                           nvarchar        
Notes                                    74 AccountsCode                       nvarchar        
Notes                                    75 AdvanceID                          int             
Notes                                    76 OldNoteSerial1                     nvarchar        
Notes                                    77 Emp_ID                             int             
Notes                                    78 Doctype                            int             
Notes                                    79 AllocationType                     int             
Notes                                    80 EmpId                              int             
Notes                                    81 TransferExpenses                   float           
Notes                                    82 ExpensesRemark                     nvarchar        
Notes                                    83 RemarkE                            nvarchar        
Notes                                    84 branch_no1                         int             
Notes                                    85 branch_no2                         int             
Notes                                    86 Account_Code1                      nvarchar        
Notes                                    87 Account_Code2                      nvarchar        
Notes                                    88 PaymentType                        int             
Notes                                    89 PaymentType1                       int             
Notes                                    90 BoxID1                             int             
Notes                                    91 BoxID2                             int             
Notes                                    92 bankID1                            int             
Notes                                    93 bankID2                            int             
Notes                                    94 TxtChequeNumber1                   nvarchar        
Notes                                    95 DtpChequeDueDate1                  datetime        
Notes                                    96 NoteDateH                          nvarchar        
Notes                                    97 ManulaNO                           nvarchar        
Notes                                    98 CarId                              int             
Notes                                    99 DriverId                           int             
Notes                                   100 NCashingType                       int             
Notes                                   101 note_count                         int             
Notes                                   102 ManualNo                           nvarchar        
Notes                                   103 BookNo                             nvarchar        
Notes                                   104 ContractNo                         nvarchar        
Notes                                   105 ContNo                             int             
Notes                                   106 akarid                             int             
Notes                                   107 unittype                           int             
Notes                                   108 UnitNo                             int             
Notes                                   109 interval                           int             
Notes                                   110 intervaltype                       int             
Notes                                   111 renterName                         nvarchar        
Notes                                   112 AllowDateH                         nvarchar        
Notes                                   113 AllowDate                          datetime        
Notes                                   114 NoteSerial2                        float           
Notes                                   115 NoteId2                            nvarchar        
Notes                                   116 Telephone                          nvarchar        
Notes                                   117 StatusEarnest                      int             
Notes                                   118 FilterID                           int             
Notes                                   119 FIlterTotal                        float           
Notes                                   120 commission                         float           
Notes                                   121 rent                               float           
Notes                                   122 Water                              float           
Notes                                   123 Instrunce                          float           
Notes                                   124 comX                               float           
Notes                                   125 ComY                               float           
Notes                                   126 CommissionOut                      float           
Notes                                   127 NoteOrBonID                        int             
Notes                                   128 comXold                            float           
Notes                                   129 ComYold                            float           
Notes                                   130 NoteOrBonValue                     float           
Notes                                   131 NoteOrBonSereal                    nvarchar        
Notes                                   132 FrmPriodDate                       datetime        
Notes                                   133 ToPriodDate                        datetime        
Notes                                   134 FrmPriodDateH                      nvarchar        
Notes                                   135 ToPriodDateH                       nvarchar        
Notes                                   136 Remark2                            nvarchar        
Notes                                   137 OrderIDD                           float           
Notes                                   138 AdvanceIDD                         int             
Notes                                   139 ProjectID                          int             
Notes                                   140 Pand                               int             
Notes                                   141 Oper                               int             
Notes                                   142 subcontractType                    int             
Notes                                   143 fixedid                            int             
Notes                                   144 Count                              float           
Notes                                   145 price                              float           
Notes                                   146 discount                           float           
Notes                                   147 Electricity                        float           
Notes                                   148 commdiscounttype                   int             
Notes                                   149 Commdiscountvalue                  float           
Notes                                   150 Commdiscountvalue1                 float           
Notes                                   151 CommdiscountAccount                nvarchar        
Notes                                   152 OrderSerial                        nvarchar        
Notes                                   153 OrderID                            int             
Notes                                   154 DeptID                             int             
Notes                                   155 Status                             int             
Notes                                   156 Prefix                             nvarchar        
Notes                                   157 PayrollMonth                       int             
Notes                                   158 PayrollYear                        int             
Notes                                   159 empDes                             text            
Notes                                   160 empDes1                            text            
Notes                                   161 PayDes                             nvarchar        
Notes                                   162 PayDes1                            nvarchar        
Notes                                   163 Due                                int             
Notes                                   164 TypAmola                           int             
Notes                                   165 AmolaValus                         float           
Notes                                   166 TxtNoSupplerDes                    nvarchar        
Notes                                   167 TxtOrderSuppler                    int             
Notes                                   168 NumIqama                           nvarchar        
Notes                                   169 TransferExpensesBranch             float           
Notes                                   170 ToCommision                        bit             
Notes                                   171 BeneficiaryBanck                   nvarchar        
Notes                                   172 BeneficiaryAddress                 nvarchar        
Notes                                   173 BeneficiaryACNo                    nvarchar        
Notes                                   174 BenefiBanckAddress                 nvarchar        
Notes                                   175 BenefiBanckCode                    nvarchar        
Notes                                   176 RemitterName                       nvarchar        
Notes                                   177 ReportName                         nvarchar        
Notes                                   178 BenefNumIqama                      nvarchar        
Notes                                   179 BenefCountry                       nvarchar        
Notes                                   180 BenefCity                          nvarchar        
Notes                                   181 BenefStreet                        nvarchar        
Notes                                   182 BenefGovernorate                   nvarchar        
Notes                                   183 Country                            nvarchar        
Notes                                   184 Governorate                        nvarchar        
Notes                                   185 City                               nvarchar        
Notes                                   186 Street                             nvarchar        
Notes                                   187 Adress2                            nvarchar        
Notes                                   188 KafelName                          nvarchar        
Notes                                   189 KafeltEL                           nvarchar        
Notes                                   190 BenefTelephone                     nvarchar        
Notes                                   191 BenefIBAN                          nvarchar        
Notes                                   192 BenefPlaceIqama                    nvarchar        
Notes                                   193 KafelAddress                       nvarchar        
Notes                                   194 BenefDateExpEqama                  nvarchar        
Notes                                   195 BenefBrithDate                     datetime        
Notes                                   196 BenefPlaceBrith                    nvarchar        
Notes                                   197 EmpIDD                             int             
Notes                                   198 LockedInterval                     bit             
Notes                                   199 TxtEndService                      int             
Notes                                   200 Month_Req                          int             
Notes                                   201 Year_Req                           int             
Notes                                   202 Brnch_Req                          int             
Notes                                   203 AssestPayd                         bit             
Notes                                   204 InsuranceValue                     float           
Notes                                   205 Servce                             float           
Notes                                   206 PayedOrBon                         int             
Notes                                   207 RemaiValue                         float           
Notes                                   208 Total2                             float           
Notes                                   209 Sal2                               float           
Notes                                   210 net2                               float           
Notes                                   211 VlueVaction2                       float           
Notes                                   212 TicketValue2                       float           
Notes                                   213 Custom2                            float           
Notes                                   214 AdvanceTotal2                      float           
Notes                                   215 Cash2                              float           
Notes                                   216 Salary2                            float           
Notes                                   217 SalEntitOther2                     float           
Notes                                   218 Other2                             float           
Notes                                   219 Advance12                          float           
Notes                                   220 InsuranceValue2                    float           
Notes                                   221 LastTotal2                         float           
Notes                                   222 SalaryVocation2                    float           
Notes                                   223 ValueTickt2                        float           
Notes                                   224 Totalsalary2                       float           
Notes                                   225 CusTiket2                          float           
Notes                                   226 CusTiket                           float           
Notes                                   227 AddOther                           float           
Notes                                   228 AddOther2                          float           
Notes                                   229 ValEndService2                     float           
Notes                                   230 ValEndService                      float           
Notes                                   231 TotalDis2                          float           
Notes                                   232 TotalDis                           float           
Notes                                   233 total                              float           
Notes                                   234 Sal                                float           
Notes                                   235 TicketValue                        float           
Notes                                   236 Custom                             float           
Notes                                   237 LastTotal                          float           
Notes                                   238 Cash                               float           
Notes                                   239 VlueVaction                        float           
Notes                                   240 AdvanceTotal                       float           
Notes                                   241 EmpIDEnd                           int             
Notes                                   242 BrnchIDEnd                         int             
Notes                                   243 EmpIDVac                           int             
Notes                                   244 BrnchIDVac                         int             
Notes                                   245 Salary33                           float           
Notes                                   246 SalEntitOther                      float           
Notes                                   247 Other                              float           
Notes                                   248 Advance1                           float           
Notes                                   249 SalaryVocation                     float           
Notes                                   250 ValueTickt                         float           
Notes                                   251 Salary3                            float           
Notes                                   252 SalEntitOther3                     float           
Notes                                   253 SalaryVocation3                    float           
Notes                                   254 Other3                             float           
Notes                                   255 ValueTickt3                        float           
Notes                                   256 Advance13                          float           
Notes                                   257 InsuranceValue3                    float           
Notes                                   258 Copied                             int             
Notes                                   259 Discounts                          float           
Notes                                   260 Discounts2                         float           
Notes                                   261 OnlineData                         int             
Notes                                   262 TicktConract                       float           
Notes                                   263 TotlPaidEndSer                     float           
Notes                                   264 total3                             float           
Notes                                   265 Sal3                               float           
Notes                                   266 Custom3                            float           
Notes                                   267 TicketValue3                       float           
Notes                                   268 AddOther3                          float           
Notes                                   269 net3                               float           
Notes                                   270 ValEndService3                     float           
Notes                                   271 AdvanceTotal3                      float           
Notes                                   272 VlueVaction3                       float           
Notes                                   273 Cash3                              float           
Notes                                   274 Discounts3                         float           
Notes                                   275 TotalDis3                          float           
Notes                                   276 AccountPaym                        nvarchar        
Notes                                   277 EmpBranchID                        int             
Notes                                   278 ContractorID                       int             
Notes                                   279 ProjectMainID                      int             
Notes                                   280 CurrentBalance                     float           
Notes                                   281 PaymentValue                       float           
Notes                                   282 Percentage                         float           
Notes                                   283 PercentageValue                    float           
Notes                                   284 TypeTrans                          int             
Notes                                   285 Insurance                          float           
Notes                                   286 Maintenance2                       float           
Notes                                   287 Maintenance3                       float           
Notes                                   288 Maintenance                        float           
Notes                                   289 RemainRent2                        float           
Notes                                   290 RemainRent3                        float           
Notes                                   291 MaintCondition3                    float           
Notes                                   292 MaintCondition2                    float           
Notes                                   293 MaintCondition                     float           
Notes                                   294 MaintClean3                        float           
Notes                                   295 MaintClean2                        float           
Notes                                   296 MaintClean                         float           
Notes                                   297 Paints2                            float           
Notes                                   298 Paints3                            float           
Notes                                   299 Paints                             float           
Notes                                   300 Maintkitchen2                      float           
Notes                                   301 Maintkitchen3                      float           
Notes                                   302 Maintkitchen                       float           
Notes                                   303 Electricity12                      float           
Notes                                   304 Electricity13                      float           
Notes                                   305 Electricity1                       float           
Notes                                   306 MaintDoors2                        float           
Notes                                   307 MaintDoors3                        float           
Notes                                   308 MaintDoors                         float           
Notes                                   309 Windows2                           float           
Notes                                   310 Windows3                           float           
Notes                                   311 Windows                            float           
Notes                                   312 MaintOther2                        float           
Notes                                   313 MaintOther                         float           
Notes                                   314 MaintOther3                        float           
Notes                                   315 Total22                            float           
Notes                                   316 Total23                            float           
Notes                                   317 TotalAftreIns                      float           
Notes                                   318 TotalAftreIns2                     float           
Notes                                   319 TotalAftreIns3                     float           
Notes                                   320 Net                                float           
Notes                                   321 RemainRent                         float           
Notes                                   322 Total21                            float           
Notes                                   323 posted                             bit             
Notes                                   324 PostedDate                         datetime        
Notes                                   325 DisSalary                          float           
Notes                                   326 DisSalary2                         float           
Notes                                   327 DisSalaryPayed                     float           
Notes                                   328 auto_Sus                           int             
Notes                                   329 CurrncyID                          int             
Notes                                   330 Note_ValueE                        float           
Notes                                   331 Rate                               float           
Notes                                   332 Price2                             float           
Notes                                   333 Price3                             float           
Notes                                   334 RemPrice                           float           
Notes                                   335 LockSalary                         int             
Notes                                   336 VATVowalNo                         int             
Notes                                   337 VAT                                float           
Notes                                   338 VATYou                             float           
Notes                                   339 TotalValue                         float           
Notes                                   340 AccountCodeVat                     nvarchar        
Notes                                   341 IncludVAT                          int             
Notes                                   342 PreVAT                             float           
Notes                                   343 totalPayed                         int             
Notes                                   344 Fina_Pruch                         int             
Notes                                   345 Account_DebitSide                  nvarchar        
Notes                                   346 Account_CreditSide                 nvarchar        
Notes                                   347 TotalNotesValue                    float           
Notes                                   348 MonthCount                         int             
Notes                                   349 PurchOrderNo                       int             
Notes                                   350 CityFromId                         int             
Notes                                   351 CityToId                           int             
Notes                                   352 DailyMonthly                       int             
Notes                                   353 note_v_by_char_WithoutVat          nvarchar        
Notes                                   354 DailyMonthlyValue                  float           
Notes                                   355 des2                               nvarchar        
